City,Days Overdue Breakdown,Loan Term in Years,Origination Date,Segment,State,Amount,Amount Due,Avg. Interest Rate,Calc for Metrics Parameter,Days Overdue,Loan Term in Months,No. of Loans,Risk Rate
Paterson,90+,21-30 Years,2021-02-23,Commercial,New Jersey,500.0,522.0,4,500,94,348,1,1
Dayton,0-15,21-30 Years,2020-07-01,Commercial,Ohio,1000.0,1047.0,5,"1,000",8,348,1,1
Sacramento,16-30,21-30 Years,2021-12-20,Commercial,California,1000.0,1057.0,6,"1,000",20,348,1,1
Toledo,31-45,21-30 Years,2019-11-03,Commercial,Ohio,1000.0,1068.0,7,"1,000",31,348,1,1
Pittsburgh,61-75,21-30 Years,2021-06-08,Commercial,Pennsylvania,1000.0,1043.0,4,"1,000",63,348,1,1
Minneapolis,0-15,21-30 Years,2022-04-09,Commercial,Minnesota,2000.0,2140.0,7,"2,000",10,348,1,1
Jeffersonville,16-30,21-30 Years,2019-10-05,Commercial,Indiana,2000.0,2122.0,6,"2,000",23,348,1,1
Norfolk,31-45,21-30 Years,2021-12-07,Commercial,Virginia,2000.0,2123.0,6,"2,000",45,348,1,1
North Little Rock,46-60,21-30 Years,2020-09-09,Commercial,Arkansas,2000.0,2098.0,5,"2,000",49,348,1,1
Saint Louis,46-60,21-30 Years,2022-05-07,Commercial,Missouri,2000.0,2109.0,5,"2,000",60,348,1,1
Saint Louis,61-75,21-30 Years,2020-02-08,Commercial,Missouri,3000.0,3173.0,6,"3,000",66,348,1,1
Dallas,61-75,21-30 Years,2021-07-15,Commercial,Texas,3000.0,3198.0,7,"3,000",75,348,1,1
Saint Louis,76-90,21-30 Years,2021-06-11,Commercial,Missouri,4000.0,4249.0,6,"4,000",78,348,1,1
Homestead,61-75,21-30 Years,2021-04-21,Commercial,Florida,5000.0,5306.0,6,"5,000",63,348,1,1
Green Bay,61-75,21-30 Years,2020-01-17,Commercial,Wisconsin,6000.0,6241.0,4,"6,000",70,348,1,1
Albany,61-75,21-30 Years,2019-09-05,Commercial,Georgia,7000.0,7435.0,6,"7,000",71,348,1,1
Fayetteville,61-75,21-30 Years,2019-12-17,Commercial,North Carolina,12000.0,12779.0,6,"12,000",73,348,1,1
Dallas,16-30,21-30 Years,2020-05-12,Commercial,Texas,500.0,522.0,4,500,16,360,1,1
Washington,16-30,21-30 Years,2019-11-26,Commercial,District of Columbia,500.0,531.0,6,500,17,360,1,1
Boise,16-30,21-30 Years,2021-11-25,Commercial,Idaho,500.0,533.0,7,500,19,360,1,1
Panama City,16-30,21-30 Years,2021-08-16,Commercial,Florida,500.0,526.0,5,500,20,360,1,1
Pensacola,31-45,21-30 Years,2019-08-31,Commercial,Florida,500.0,526.0,5,500,31,360,1,1
Springfield,31-45,21-30 Years,2021-11-26,Commercial,Illinois,500.0,530.0,6,500,34,360,1,1
Austin,31-45,21-30 Years,2019-08-04,Commercial,Texas,500.0,531.0,6,500,39,360,1,1
Erie,31-45,21-30 Years,2022-03-14,Commercial,Pennsylvania,500.0,522.0,4,500,44,360,1,1
Washington,46-60,21-30 Years,2019-09-01,Commercial,District of Columbia,500.0,533.0,7,500,48,360,1,1
Lexington,46-60,21-30 Years,2021-07-12,Commercial,Kentucky,500.0,527.0,5,500,54,360,1,1
Lubbock,61-75,21-30 Years,2019-11-03,Commercial,Texas,500.0,530.0,6,500,66,360,1,1
Lake Charles,61-75,21-30 Years,2019-08-11,Commercial,Louisiana,500.0,524.0,5,500,68,360,1,1
San Angelo,61-75,21-30 Years,2022-06-22,Commercial,Texas,500.0,528.0,6,500,68,360,1,1
Inglewood,61-75,21-30 Years,2022-03-09,Commercial,California,500.0,535.0,7,500,70,360,1,1
Akron,76-90,21-30 Years,2021-10-28,Commercial,Ohio,500.0,520.0,4,500,76,360,1,1
Erie,76-90,21-30 Years,2019-10-18,Commercial,Pennsylvania,500.0,532.0,6,500,77,360,1,1
Birmingham,76-90,21-30 Years,2022-01-01,Commercial,Alabama,500.0,521.0,4,500,85,360,1,1
Round Rock,76-90,21-30 Years,2021-04-05,Commercial,Texas,500.0,524.0,5,500,85,360,1,1
New York City,90+,21-30 Years,2020-11-01,Commercial,New York,500.0,522.0,4,500,92,360,1,1
Topeka,0-15,21-30 Years,2020-10-14,Commercial,Kansas,1000.0,1058.0,6,"1,000",4,360,1,1
Washington,0-15,21-30 Years,2021-02-19,Commercial,District of Columbia,1000.0,1041.0,4,"1,000",8,360,1,1
Hartford,16-30,21-30 Years,2020-02-04,Commercial,Connecticut,1000.0,1050.0,5,"1,000",22,360,1,1
Arlington,31-45,21-30 Years,2020-01-28,Commercial,Virginia,1000.0,1068.0,7,"1,000",31,360,1,1
Daytona Beach,46-60,21-30 Years,2020-06-17,Commercial,Florida,1000.0,1060.0,6,"1,000",46,360,1,1
Buffalo,46-60,21-30 Years,2020-02-27,Commercial,New York,1000.0,1053.0,5,"1,000",48,360,1,1
Fort Lauderdale,46-60,21-30 Years,2021-04-25,Commercial,Florida,1000.0,1044.0,4,"1,000",55,360,1,1
Daytona Beach,61-75,21-30 Years,2020-07-27,Commercial,Florida,1000.0,1061.0,6,"1,000",66,360,1,1
Pocatello,61-75,21-30 Years,2020-07-12,Commercial,Idaho,1000.0,1044.0,4,"1,000",67,360,1,1
Charleston,61-75,21-30 Years,2019-11-07,Commercial,West Virginia,1000.0,1065.0,7,"1,000",69,360,1,1
Rochester,31-45,21-30 Years,2020-01-27,Commercial,New York,2000.0,2082.0,4,"2,000",31,360,1,1
Saint Petersburg,46-60,21-30 Years,2021-08-21,Commercial,Florida,2000.0,2118.0,6,"2,000",49,360,1,1
New Orleans,61-75,21-30 Years,2020-03-16,Commercial,Louisiana,2000.0,2085.0,4,"2,000",75,360,1,1
Philadelphia,76-90,21-30 Years,2021-04-25,Commercial,Pennsylvania,2000.0,2085.0,4,"2,000",88,360,1,1
Moreno Valley,16-30,21-30 Years,2020-10-25,Commercial,California,4000.0,4263.0,7,"4,000",19,360,1,1
Nashville,46-60,21-30 Years,2020-04-04,Commercial,Tennessee,4000.0,4160.0,4,"4,000",59,360,1,1
Albuquerque,46-60,21-30 Years,2021-06-30,Commercial,New Mexico,5000.0,5290.0,6,"5,000",52,360,1,1
Pensacola,0-15,21-30 Years,2021-01-29,Commercial,Florida,8000.0,8337.0,4,"8,000",14,360,1,1
San Antonio,61-75,21-30 Years,2020-08-02,Commercial,Texas,11000.0,11479.0,4,"11,000",74,360,1,1
Athens,16-30,21-30 Years,2019-08-25,Commercial,Georgia,25000.0,26630.0,7,"25,000",16,360,1,1
Detroit,0-15,11-20 Years,2019-07-08,Home Mortgage,Michigan,500.0,515.0,3,500,10,180,1,1
Charlotte,0-15,11-20 Years,2021-08-09,Home Mortgage,North Carolina,500.0,525.0,5,500,11,180,1,1
San Jose,0-15,11-20 Years,2019-08-08,Home Mortgage,California,500.0,526.0,5,500,15,180,1,1
El Paso,16-30,11-20 Years,2020-05-31,Home Mortgage,Texas,500.0,526.0,5,500,30,180,1,1
Tucson,31-45,11-20 Years,2021-09-06,Home Mortgage,Arizona,500.0,517.0,3,500,45,180,1,1
Pittsburgh,46-60,11-20 Years,2019-10-14,Home Mortgage,Pennsylvania,500.0,518.0,4,500,46,180,1,1
Huntsville,46-60,11-20 Years,2020-08-11,Home Mortgage,Alabama,500.0,526.0,5,500,50,180,1,1
Denver,46-60,11-20 Years,2021-09-19,Home Mortgage,Colorado,500.0,526.0,5,500,52,180,1,1
Chicago,46-60,11-20 Years,2020-11-27,Home Mortgage,Illinois,500.0,529.0,6,500,53,180,1,1
Fort Worth,61-75,11-20 Years,2021-03-18,Home Mortgage,Texas,500.0,523.0,5,500,62,180,1,1
Chicago,61-75,11-20 Years,2020-10-24,Home Mortgage,Illinois,500.0,520.0,4,500,67,180,1,1
San Mateo,16-30,11-20 Years,2021-04-06,Home Mortgage,California,1000.0,1040.0,4,"1,000",26,180,1,1
Houston,16-30,11-20 Years,2020-12-22,Home Mortgage,Texas,1000.0,1031.0,3,"1,000",30,180,1,1
Waterloo,31-45,11-20 Years,2022-02-04,Home Mortgage,Iowa,1000.0,1034.0,3,"1,000",32,180,1,1
Winston Salem,61-75,11-20 Years,2019-09-27,Home Mortgage,North Carolina,1000.0,1042.0,4,"1,000",65,180,1,1
Atlanta,0-15,11-20 Years,2021-01-31,Home Mortgage,Georgia,2000.0,2074.0,4,"2,000",7,180,1,1
Anaheim,16-30,11-20 Years,2021-10-18,Home Mortgage,California,3000.0,3109.0,4,"3,000",26,180,1,1
Hattiesburg,31-45,11-20 Years,2020-04-23,Home Mortgage,Mississippi,6000.0,6351.0,6,"6,000",41,180,1,1
Miami Beach,61-75,11-20 Years,2020-06-07,Home Mortgage,Florida,8000.0,8240.0,3,"8,000",74,180,1,1
Cincinnati,76-90,11-20 Years,2021-04-16,Home Mortgage,Ohio,13000.0,13519.0,4,"13,000",89,180,1,1
Toledo,0-15,11-20 Years,2020-12-13,Home Mortgage,Ohio,500.0,523.0,5,500,11,192,1,1
Phoenix,0-15,11-20 Years,2021-07-30,Home Mortgage,Arizona,500.0,526.0,5,500,13,192,1,1
Atlanta,0-15,11-20 Years,2021-11-27,Home Mortgage,Georgia,500.0,522.0,4,500,15,192,1,1
Boynton Beach,16-30,11-20 Years,2022-06-06,Home Mortgage,Florida,500.0,516.0,3,500,25,192,1,1
Phoenix,46-60,11-20 Years,2020-11-13,Home Mortgage,Arizona,500.0,517.0,3,500,49,192,1,1
Los Angeles,46-60,11-20 Years,2020-05-29,Home Mortgage,California,500.0,515.0,3,500,58,192,1,1
New Orleans,46-60,11-20 Years,2020-08-25,Home Mortgage,Louisiana,500.0,519.0,4,500,59,192,1,1
Cleveland,61-75,11-20 Years,2022-03-24,Home Mortgage,Ohio,500.0,515.0,3,500,75,192,1,1
Charlotte,76-90,11-20 Years,2020-08-25,Home Mortgage,North Carolina,500.0,519.0,4,500,76,192,1,1
Green Bay,76-90,11-20 Years,2020-10-10,Home Mortgage,Wisconsin,500.0,516.0,3,500,84,192,1,1
Detroit,76-90,11-20 Years,2022-06-07,Home Mortgage,Michigan,500.0,523.0,5,500,89,192,1,1
Reno,0-15,11-20 Years,2021-09-24,Home Mortgage,Nevada,1000.0,1032.0,3,"1,000",9,192,1,1
New York City,31-45,11-20 Years,2019-08-26,Home Mortgage,New York,1000.0,1042.0,4,"1,000",40,192,1,1
Billings,46-60,11-20 Years,2022-06-25,Home Mortgage,Montana,1000.0,1051.0,5,"1,000",54,192,1,1
Buffalo,61-75,11-20 Years,2020-09-12,Home Mortgage,New York,1000.0,1036.0,4,"1,000",63,192,1,1
Wichita,0-15,11-20 Years,2021-01-21,Home Mortgage,Kansas,4000.0,4148.0,4,"4,000",13,192,1,1
Odessa,46-60,11-20 Years,2022-06-24,Home Mortgage,Texas,4000.0,4239.0,6,"4,000",58,192,1,1
Mobile,0-15,11-20 Years,2020-07-18,Home Mortgage,Alabama,5000.0,5153.0,3,"5,000",1,192,1,1
Amarillo,0-15,11-20 Years,2020-08-13,Home Mortgage,Texas,5000.0,5208.0,4,"5,000",7,192,1,1
Washington,61-75,11-20 Years,2021-02-22,Home Mortgage,District of Columbia,7000.0,7254.0,4,"7,000",62,192,1,1
Sacramento,16-30,11-20 Years,2022-03-03,Home Mortgage,California,500.0,530.0,6,500,26,204,1,1
Hartford,31-45,11-20 Years,2021-08-20,Home Mortgage,Connecticut,500.0,528.0,6,500,33,204,1,1
Cleveland,31-45,11-20 Years,2021-01-16,Home Mortgage,Ohio,500.0,528.0,6,500,33,204,1,1
Tulsa,31-45,11-20 Years,2020-06-05,Home Mortgage,Oklahoma,500.0,517.0,3,500,38,204,1,1
Huntsville,31-45,11-20 Years,2019-07-05,Home Mortgage,Alabama,500.0,519.0,4,500,41,204,1,1
Irvine,61-75,11-20 Years,2021-04-17,Home Mortgage,California,500.0,521.0,4,500,65,204,1,1
Las Vegas,61-75,11-20 Years,2022-05-31,Home Mortgage,Nevada,500.0,528.0,6,500,66,204,1,1
San Antonio,76-90,11-20 Years,2021-10-25,Home Mortgage,Texas,500.0,516.0,3,500,87,204,1,1
Providence,0-15,11-20 Years,2019-11-02,Home Mortgage,Rhode Island,1000.0,1032.0,3,"1,000",1,204,1,1
Baton Rouge,16-30,11-20 Years,2022-01-01,Home Mortgage,Louisiana,1000.0,1050.0,5,"1,000",16,204,1,1
Albany,16-30,11-20 Years,2021-11-08,Home Mortgage,New York,1000.0,1048.0,5,"1,000",23,204,1,1
Irvine,31-45,11-20 Years,2022-05-27,Home Mortgage,California,1000.0,1043.0,4,"1,000",32,204,1,1
Oklahoma City,31-45,11-20 Years,2019-12-22,Home Mortgage,Oklahoma,1000.0,1038.0,4,"1,000",40,204,1,1
Washington,46-60,11-20 Years,2022-02-19,Home Mortgage,District of Columbia,1000.0,1051.0,5,"1,000",58,204,1,1
New York City,61-75,11-20 Years,2020-07-16,Home Mortgage,New York,1000.0,1038.0,4,"1,000",63,204,1,1
Savannah,76-90,11-20 Years,2021-10-15,Home Mortgage,Georgia,1000.0,1035.0,3,"1,000",84,204,1,1
Virginia Beach,61-75,11-20 Years,2020-01-25,Home Mortgage,Virginia,2500.0,2630.0,5,"2,500",64,204,1,1
Augusta,16-30,11-20 Years,2022-02-26,Home Mortgage,Georgia,3000.0,3091.0,3,"3,000",26,204,1,1
Sacramento,46-60,11-20 Years,2022-06-17,Home Mortgage,California,4000.0,4196.0,5,"4,000",60,204,1,1
Madison,61-75,11-20 Years,2020-01-18,Home Mortgage,Wisconsin,15000.0,15485.0,3,"15,000",66,204,1,1
Jackson,0-15,11-20 Years,2019-12-26,Home Mortgage,Mississippi,500.0,529.0,6,500,9,216,1,1
Frederick,16-30,11-20 Years,2022-05-12,Home Mortgage,Maryland,500.0,516.0,3,500,16,216,1,1
Jersey City,16-30,11-20 Years,2019-08-25,Home Mortgage,New Jersey,500.0,529.0,6,500,17,216,1,1
Greensboro,16-30,11-20 Years,2020-02-02,Home Mortgage,North Carolina,500.0,520.0,4,500,30,216,1,1
Lynchburg,31-45,11-20 Years,2020-05-03,Home Mortgage,Virginia,500.0,522.0,4,500,31,216,1,1
Killeen,31-45,11-20 Years,2019-09-02,Home Mortgage,Texas,500.0,529.0,6,500,40,216,1,1
Glendale,61-75,11-20 Years,2020-09-04,Home Mortgage,California,500.0,516.0,3,500,63,216,1,1
Hamilton,61-75,11-20 Years,2020-10-28,Home Mortgage,Ohio,500.0,519.0,4,500,63,216,1,1
Naples,61-75,11-20 Years,2021-08-24,Home Mortgage,Florida,500.0,529.0,6,500,67,216,1,1
Phoenix,61-75,11-20 Years,2022-01-31,Home Mortgage,Arizona,500.0,517.0,3,500,75,216,1,1
Salt Lake City,76-90,11-20 Years,2022-03-24,Home Mortgage,Utah,500.0,522.0,4,500,77,216,1,1
Vancouver,76-90,11-20 Years,2020-04-17,Home Mortgage,Washington,500.0,520.0,4,500,80,216,1,1
Charleston,76-90,11-20 Years,2019-10-19,Home Mortgage,West Virginia,500.0,520.0,4,500,83,216,1,1
Denver,76-90,11-20 Years,2020-02-25,Home Mortgage,Colorado,500.0,522.0,4,500,88,216,1,1
Wilmington,90+,11-20 Years,2019-12-11,Home Mortgage,North Carolina,500.0,528.0,6,500,92,216,1,1
Sunnyvale,31-45,11-20 Years,2022-05-20,Home Mortgage,California,1000.0,1044.0,4,"1,000",45,216,1,1
Jeffersonville,31-45,11-20 Years,2021-09-17,Home Mortgage,Indiana,1000.0,1048.0,5,"1,000",45,216,1,1
Visalia,46-60,11-20 Years,2021-06-15,Home Mortgage,California,1000.0,1055.0,6,"1,000",53,216,1,1
San Bernardino,61-75,11-20 Years,2019-12-29,Home Mortgage,California,1000.0,1042.0,4,"1,000",63,216,1,1
Cedar Rapids,61-75,11-20 Years,2021-03-05,Home Mortgage,Iowa,1000.0,1038.0,4,"1,000",75,216,1,1
Akron,90+,11-20 Years,2021-02-02,Home Mortgage,Ohio,1500.0,1580.0,5,"1,500",94,216,1,1
Salt Lake City,31-45,11-20 Years,2020-09-10,Home Mortgage,Utah,4000.0,4209.0,5,"4,000",33,216,1,1
Saint Louis,16-30,11-20 Years,2021-06-20,Home Mortgage,Missouri,6000.0,6188.0,3,"6,000",29,216,1,1
El Paso,76-90,11-20 Years,2021-08-19,Home Mortgage,Texas,6000.0,6195.0,3,"6,000",84,216,1,1
Columbia,0-15,11-20 Years,2022-02-05,Home Mortgage,Missouri,500.0,520.0,4,500,8,228,1,1
Denver,16-30,11-20 Years,2019-10-10,Home Mortgage,Colorado,500.0,522.0,4,500,24,228,1,1
Las Vegas,16-30,11-20 Years,2021-02-28,Home Mortgage,Nevada,500.0,520.0,4,500,25,228,1,1
Washington,31-45,11-20 Years,2020-11-06,Home Mortgage,District of Columbia,500.0,524.0,5,500,34,228,1,1
Vancouver,31-45,11-20 Years,2021-07-18,Home Mortgage,Washington,500.0,525.0,5,500,36,228,1,1
Springfield,31-45,11-20 Years,2021-07-10,Home Mortgage,Missouri,500.0,517.0,3,500,39,228,1,1
Saint Louis,46-60,11-20 Years,2020-08-22,Home Mortgage,Missouri,500.0,520.0,4,500,54,228,1,1
Stockton,61-75,11-20 Years,2019-09-01,Home Mortgage,California,500.0,524.0,5,500,67,228,1,1
San Bernardino,76-90,11-20 Years,2022-07-25,Home Mortgage,California,500.0,519.0,4,500,77,228,1,1
Tulsa,90+,11-20 Years,2020-08-15,Home Mortgage,Oklahoma,500.0,520.0,4,500,92,228,1,1
Louisville,0-15,11-20 Years,2020-01-23,Home Mortgage,Kentucky,1000.0,1056.0,6,"1,000",11,228,1,1
Sacramento,16-30,11-20 Years,2021-01-07,Home Mortgage,California,1000.0,1031.0,3,"1,000",24,228,1,1
Billings,31-45,11-20 Years,2019-11-22,Home Mortgage,Montana,1000.0,1058.0,6,"1,000",34,228,1,1
Spartanburg,61-75,11-20 Years,2020-10-26,Home Mortgage,South Carolina,1000.0,1030.0,3,"1,000",65,228,1,1
Minneapolis,76-90,11-20 Years,2019-09-23,Home Mortgage,Minnesota,1000.0,1048.0,5,"1,000",77,228,1,1
Meridian,76-90,11-20 Years,2020-08-17,Home Mortgage,Mississippi,1000.0,1050.0,5,"1,000",86,228,1,1
San Jose,90+,11-20 Years,2020-12-04,Home Mortgage,California,1000.0,1040.0,4,"1,000",91,228,1,1
Minneapolis,61-75,11-20 Years,2021-05-24,Home Mortgage,Minnesota,2000.0,2119.0,6,"2,000",74,228,1,1
Hollywood,0-15,11-20 Years,2020-06-10,Home Mortgage,Florida,3000.0,3128.0,4,"3,000",11,228,1,1
Springfield,46-60,11-20 Years,2022-06-16,Home Mortgage,Illinois,3000.0,3151.0,5,"3,000",49,228,1,1
Pittsburgh,76-90,11-20 Years,2022-04-16,Home Mortgage,Pennsylvania,3000.0,3092.0,3,"3,000",78,228,1,1
Greensboro,31-45,11-20 Years,2022-01-12,Home Mortgage,North Carolina,4000.0,4129.0,3,"4,000",36,228,1,1
Salt Lake City,0-15,11-20 Years,2021-12-24,Home Mortgage,Utah,15000.0,15678.0,5,"15,000",4,228,1,1
Salt Lake City,0-15,11-20 Years,2021-09-20,Home Mortgage,Utah,500.0,526.0,5,500,2,240,1,1
Albuquerque,0-15,11-20 Years,2019-10-23,Home Mortgage,New Mexico,500.0,518.0,4,500,4,240,1,1
Minneapolis,16-30,11-20 Years,2021-01-05,Home Mortgage,Minnesota,500.0,523.0,5,500,20,240,1,1
Washington,31-45,11-20 Years,2022-03-01,Home Mortgage,District of Columbia,500.0,522.0,4,500,33,240,1,1
Evansville,31-45,11-20 Years,2021-12-11,Home Mortgage,Indiana,500.0,515.0,3,500,45,240,1,1
Colorado Springs,46-60,11-20 Years,2022-06-19,Home Mortgage,Colorado,500.0,519.0,4,500,56,240,1,1
Marietta,46-60,11-20 Years,2019-07-29,Home Mortgage,Georgia,500.0,518.0,4,500,60,240,1,1
Norfolk,76-90,11-20 Years,2021-12-11,Home Mortgage,Virginia,500.0,518.0,4,500,77,240,1,1
Washington,90+,11-20 Years,2020-01-13,Home Mortgage,District of Columbia,500.0,519.0,4,500,94,240,1,1
Evansville,0-15,11-20 Years,2022-07-23,Home Mortgage,Indiana,1000.0,1042.0,4,"1,000",9,240,1,1
Tucson,31-45,11-20 Years,2020-01-08,Home Mortgage,Arizona,1000.0,1053.0,5,"1,000",42,240,1,1
Kalamazoo,46-60,11-20 Years,2021-10-06,Home Mortgage,Michigan,1000.0,1041.0,4,"1,000",46,240,1,1
Maple Plain,46-60,11-20 Years,2022-05-19,Home Mortgage,Minnesota,1000.0,1035.0,3,"1,000",50,240,1,1
Young America,61-75,11-20 Years,2022-06-26,Home Mortgage,Minnesota,1000.0,1051.0,5,"1,000",67,240,1,1
Minneapolis,76-90,11-20 Years,2022-06-20,Home Mortgage,Minnesota,1000.0,1034.0,3,"1,000",77,240,1,1
Yakima,76-90,11-20 Years,2021-01-30,Home Mortgage,Washington,1000.0,1032.0,3,"1,000",81,240,1,1
Newark,90+,11-20 Years,2021-11-22,Home Mortgage,New Jersey,1000.0,1035.0,3,"1,000",95,240,1,1
Las Vegas,31-45,11-20 Years,2021-08-07,Home Mortgage,Nevada,2000.0,2071.0,4,"2,000",40,240,1,1
Greensboro,76-90,11-20 Years,2022-04-24,Home Mortgage,North Carolina,4000.0,4146.0,4,"4,000",79,240,1,1
Crawfordsville,76-90,11-20 Years,2021-02-18,Home Mortgage,Indiana,8000.0,8302.0,4,"8,000",76,240,1,1
Long Beach,0-15,21-30 Years,2019-10-23,Home Mortgage,California,500.0,522.0,4,500,6,252,1,1
Lake Charles,0-15,21-30 Years,2020-11-22,Home Mortgage,Louisiana,500.0,521.0,4,500,11,252,1,1
Longview,16-30,21-30 Years,2021-08-02,Home Mortgage,Texas,500.0,516.0,3,500,26,252,1,1
Colorado Springs,16-30,21-30 Years,2022-01-12,Home Mortgage,Colorado,500.0,530.0,6,500,29,252,1,1
Montgomery,31-45,21-30 Years,2019-10-26,Home Mortgage,Alabama,500.0,523.0,5,500,41,252,1,1
Falls Church,46-60,21-30 Years,2020-07-16,Home Mortgage,Virginia,500.0,520.0,4,500,57,252,1,1
Hayward,61-75,21-30 Years,2022-06-20,Home Mortgage,California,500.0,516.0,3,500,61,252,1,1
Newport Beach,61-75,21-30 Years,2021-11-06,Home Mortgage,California,500.0,523.0,5,500,61,252,1,1
Waco,61-75,21-30 Years,2020-10-14,Home Mortgage,Texas,500.0,528.0,6,500,61,252,1,1
South Bend,61-75,21-30 Years,2021-09-05,Home Mortgage,Indiana,500.0,518.0,4,500,67,252,1,1
Oakland,61-75,21-30 Years,2021-11-22,Home Mortgage,California,500.0,527.0,5,500,71,252,1,1
Charleston,61-75,21-30 Years,2021-08-10,Home Mortgage,West Virginia,500.0,530.0,6,500,74,252,1,1
Evansville,76-90,21-30 Years,2020-08-19,Home Mortgage,Indiana,500.0,523.0,5,500,82,252,1,1
Visalia,16-30,21-30 Years,2020-08-21,Home Mortgage,California,1000.0,1045.0,5,"1,000",27,252,1,1
Flushing,46-60,21-30 Years,2019-12-11,Home Mortgage,New York,1000.0,1042.0,4,"1,000",46,252,1,1
Jacksonville,46-60,21-30 Years,2021-02-23,Home Mortgage,Florida,1000.0,1050.0,5,"1,000",54,252,1,1
Alexandria,46-60,21-30 Years,2021-11-14,Home Mortgage,Virginia,1000.0,1054.0,5,"1,000",60,252,1,1
Lancaster,31-45,21-30 Years,2019-10-16,Home Mortgage,Pennsylvania,2000.0,2111.0,6,"2,000",38,252,1,1
New York City,31-45,21-30 Years,2019-09-28,Home Mortgage,New York,2000.0,2107.0,5,"2,000",44,252,1,1
Las Vegas,46-60,21-30 Years,2021-08-20,Home Mortgage,Nevada,2000.0,2095.0,5,"2,000",60,252,1,1
Seattle,76-90,21-30 Years,2021-02-20,Home Mortgage,Washington,4000.0,4138.0,3,"4,000",89,252,1,1
Newark,76-90,21-30 Years,2022-02-01,Home Mortgage,New Jersey,5000.0,5244.0,5,"5,000",76,252,1,1
Texarkana,76-90,21-30 Years,2019-11-03,Home Mortgage,Texas,8000.0,8264.0,3,"8,000",77,252,1,1
Burbank,76-90,21-30 Years,2019-10-29,Home Mortgage,California,11000.0,11340.0,3,"11,000",85,252,1,1
San Diego,31-45,21-30 Years,2021-09-12,Home Mortgage,California,500.0,518.0,4,500,34,264,1,1
El Paso,31-45,21-30 Years,2019-09-30,Home Mortgage,Texas,500.0,524.0,5,500,34,264,1,1
Saint Louis,31-45,21-30 Years,2020-08-04,Home Mortgage,Missouri,500.0,523.0,5,500,37,264,1,1
Johnson City,31-45,21-30 Years,2020-10-14,Home Mortgage,Tennessee,500.0,530.0,6,500,45,264,1,1
Pittsburgh,46-60,21-30 Years,2021-06-28,Home Mortgage,Pennsylvania,500.0,517.0,3,500,46,264,1,1
Charlotte,46-60,21-30 Years,2020-09-04,Home Mortgage,North Carolina,500.0,519.0,4,500,49,264,1,1
Dallas,46-60,21-30 Years,2022-01-28,Home Mortgage,Texas,500.0,515.0,3,500,60,264,1,1
El Paso,76-90,21-30 Years,2019-09-26,Home Mortgage,Texas,500.0,528.0,6,500,83,264,1,1
Columbia,90+,21-30 Years,2021-04-03,Home Mortgage,Missouri,500.0,528.0,6,500,91,264,1,1
Sacramento,90+,21-30 Years,2021-06-12,Home Mortgage,California,500.0,515.0,3,500,95,264,1,1
Dallas,31-45,21-30 Years,2021-09-30,Home Mortgage,Texas,1000.0,1060.0,6,"1,000",41,264,1,1
Toledo,46-60,21-30 Years,2019-12-11,Home Mortgage,Ohio,1000.0,1039.0,4,"1,000",57,264,1,1
Las Vegas,76-90,21-30 Years,2021-12-07,Home Mortgage,Nevada,1000.0,1038.0,4,"1,000",77,264,1,1
Birmingham,76-90,21-30 Years,2020-10-13,Home Mortgage,Alabama,1000.0,1049.0,5,"1,000",83,264,1,1
Pittsburgh,31-45,21-30 Years,2020-02-20,Home Mortgage,Pennsylvania,3000.0,3106.0,4,"3,000",33,264,1,1
Springfield,31-45,21-30 Years,2019-08-12,Home Mortgage,Illinois,3000.0,3130.0,4,"3,000",45,264,1,1
North Las Vegas,16-30,21-30 Years,2021-12-29,Home Mortgage,Nevada,5000.0,5238.0,5,"5,000",24,264,1,1
Cincinnati,46-60,21-30 Years,2021-07-22,Home Mortgage,Ohio,6000.0,6229.0,4,"6,000",55,264,1,1
Des Moines,76-90,21-30 Years,2022-07-05,Home Mortgage,Iowa,6000.0,6348.0,6,"6,000",83,264,1,1
Charleston,0-15,21-30 Years,2021-07-27,Home Mortgage,West Virginia,500.0,517.0,3,500,9,276,1,1
Santa Fe,0-15,21-30 Years,2020-12-26,Home Mortgage,New Mexico,500.0,521.0,4,500,12,276,1,1
Trenton,16-30,21-30 Years,2019-11-05,Home Mortgage,New Jersey,500.0,525.0,5,500,21,276,1,1
Lake Charles,16-30,21-30 Years,2020-04-25,Home Mortgage,Louisiana,500.0,516.0,3,500,27,276,1,1
Grand Rapids,16-30,21-30 Years,2020-12-11,Home Mortgage,Michigan,500.0,526.0,5,500,29,276,1,1
Boulder,31-45,21-30 Years,2019-07-22,Home Mortgage,Colorado,500.0,519.0,4,500,43,276,1,1
Norfolk,46-60,21-30 Years,2019-09-16,Home Mortgage,Virginia,500.0,528.0,6,500,58,276,1,1
Jackson,61-75,21-30 Years,2020-02-19,Home Mortgage,Mississippi,500.0,515.0,3,500,69,276,1,1
Salt Lake City,61-75,21-30 Years,2021-07-02,Home Mortgage,Utah,500.0,523.0,5,500,71,276,1,1
Youngstown,76-90,21-30 Years,2021-06-07,Home Mortgage,Ohio,500.0,518.0,4,500,77,276,1,1
Charleston,76-90,21-30 Years,2020-04-19,Home Mortgage,South Carolina,500.0,529.0,6,500,84,276,1,1
Washington,76-90,21-30 Years,2020-06-28,Home Mortgage,District of Columbia,500.0,530.0,6,500,85,276,1,1
